,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
36,ashev84,"📈 Day trading. Swing trading. Technical analysis 
 #stocks , #trading, 
#daytrading, #tradingalert 📉
🇨🇦🇷🇺",Canada,252,120,2658,35,"GOOD LORD...Earnings Season upon us

This week notables: $NFLX $TSLA 
Following week: $MSFT $GOOG $AMZN $AAPL $TWTR $FB OH MY. PLACE YOUR BETS. https://t.co/inKwmbCLps",[]
37,ming3r,I really love my gravel bike and going places on it.,"Madison, WI",1894,156,11268,161,"Between April 1 and April 5, Elon Musk lost an important motion in federal court—in secret. As you can see, Document 387 is missing from the docket. As of today, we know it's a court order from Judge Chen that was lodged under seal. $TSLA https://t.co/MyBxnrpNl8",[]
38,Blumbum69420,"Realistic Tesla Model Y & shareholder.
Anaphylactic reactions to cultist-mentality & cognitive biases.
Excited about everything involving space! #SpaceX #TeamLH",Tellus,34,9,780,20,How can anyone legitimately justify $tsla removing the mobile connector? This is pure insanity. Every EV car comes with a freaking charger!! This decision really boggles the mind and honestly makes me question teslas real motivation for removing it. “Usage rate is low” is so BS,[]
39,q00per,🥈👁open my 👀 to the literal agenda against god. the “simulation” is 4️⃣ur soul. im not taking chances. god is good. symbolism will 🅱️their downfall.non FA,"Nashville, TN, Chicago, IL",3788,1321,5413,1,Love that i cant even complement @elonmusk on his taste in music! I love trannies. Thats what im calling transitions from now on. Taking back words  and the ALPHA…BET. Okay. So now i know why @ryancohen tweets werent notification worthy. He has good tasste too $gme $tsla $mtch https://t.co/HQy462cfaT,[]
40,Mr_Indigo,he/they,,809,160,89164,5,My prior is “the meme stock bubble isn’t over until $TSLA trades inline with comps if not lower”. Needless to say this would fit. https://t.co/MLiZSCHybT,[]
41,Robotbeat,"“Only we are Earthseed. And the destiny of Earthseed is to take root among the stars.” —Octavia Butler
(tweets don't reflect employer policy)",Jasoom,2270,5820,216309,5,I use my mobile charge connector DAILY? Am I part or the minority? $tsla,[]
42,WestTeslarado,Thanks for flying SpaceX. Tesla: This is The Way. kW = power. kWh = Energy.,Western Colorado,633,725,6578,1,"This is an upsell, right? @elonmusk @Tesla $TSLA

@WholeMarsBlog https://t.co/gunrDDHbvu",[]
43,ChatraRaveesh,"Drink your tea slowly and reverently, as if it is the axis on which the world earth revolves - slowly, evenly, without rushing toward the future.","san diego, CA 🇺🇸🇺🇸🇺🇸",11,16,1993,0,"$CBDL $MINE $TSLA $GNOG $GOLD 
I have 17K and need a winner, which stock on the OTC market do you think will EXPLODE next?! Explain: 😁",[]
44,iamaydins,,"Philadelphia, PA",39,14,498,0,@elonmusk @WholeMarsBlog @elonmusk Statistics says passenger doors not being used. So $TSLA removed doors in this upcoming model https://t.co/7NRb78qB9T,[]
45,MoctezumaMarq,"Veganism is not a ""sacrifice."" It is a joy. #MAGA","NEWMARKET, NH 🇺🇸",5,15,1837,0,"$TSLA 
but you must be confident they are poor gambler first, 📣",[]
46,blueskykites,"🇨🇦 Professional kite flier, Tesla owner and investor, SpaceX fan, meme Lorde in training, co-admin of ⚡️Tesla Universe on @Clubhouse!","Toronto, Canada",734,1200,3332,1,"This is an upsell, right? @elonmusk @Tesla $TSLA

@WholeMarsBlog https://t.co/gunrDDHbvu",[]
47,Jhonmark123344,Best discord group over 80k members and even have their own app join here.https://t.co/WE70uVchWN,,0,39,1241,0,"$TSLA $SHOP $AMZN $AAPL BEST COMMUNITY SO FAR WITH THEIR DAILY LESSONS, LIVE ALERTS AND CALLS, AND FREE TRIALS FOR EVERYONE . JOIN XTRADERS NOW https://t.co/CVL8CfEEmG",[]
48,Jhonmark123344,Best discord group over 80k members and even have their own app join here.https://t.co/WE70uVchWN,,0,39,1241,0,"$JD Trade idea💡

$AMC $SPY $GME $QQQ $MU $MSFT $AMD $PTON $AMZN $CRM $XLF $XLE $TSLA $AAL https://t.co/YNJKrzR4vT",[]
49,Roomainor,Personal account • Just remember... this is just the beginning of Crypto! | $MRHB #MRHB | $MLT #MILCplatform | $DOGO #DogemonGo,Protonia,915,394,6889,11,"Which race horse has delivered shareholder value, $TSLA or $TWTR???
@elonmusk 

Since 2019 $TSLA has outperformed $TWTR by 22-fold https://t.co/7rulUZpMvh",[]
